X,Y,Z
-1.8,-0.97,-0.87
1.1400000000000001,0.03,0.55
-1.23,-0.35000000000000003,0.53
1.33,0.03,0.19
-1.21,-0.9500000000000001,-0.96
0.47000000000000003,-0.27,0.27
-0.5,-0.52,-0.93
0.73,0.09,-0.17
-0.9,-0.27,-0.16
-0.06,-0.2,0.08
-0.2,-0.45,0.7000000000000001
0.53,0.42,-0.42
-0.12,-0.53,-0.11
0.36,-0.35000000000000003,-0.59
-0.65,-0.22,0.25
0.89,0.45,-0.91
-0.91,-0.8,0.46
0.07,-0.06,-0.9400000000000001
0.92,0.18,0.18
-1.2,0.01,0.55
-0.39,-0.47000000000000003,0.99
0.43,-0.14,-0.43
0.35000000000000003,-0.06,1.25
0.64,0.25,-1.3800000000000001
-0.3,-0.34,0.48
-0.99,-0.09,0.37
0.63,0.1,-0.39
0.7000000000000001,-0.07,-0.61
-0.05,-0.47000000000000003,-0.63
-0.22,-0.71,0.68
-0.15,-0.06,-0.52
0.73,-0.03,-0.1
-0.27,-0.72,0.19
-0.07,-0.46,-0.07
0.53,-0.01,-0.66
0.13,-0.14,0.93
-0.47000000000000003,-0.45,-0.44
1.11,0.04,0.32
-0.43,-0.04,-0.4
0.2,-0.31,0.62
0.2,-0.41000000000000003,-0.88
-0.16,-0.06,0.3
-0.32,-0.55,-0.31
1.51,0.21,0.49
-0.6,-0.49,-0.87
0.98,0.06,0.6
-1.11,-0.4,-1.07
1.44,0.16,-0.54
-1.6500000000000001,-0.52,0.4
-0.09,-0.55,0.8
0.74,-0.03,-0.1
0.45,0.22,0.1
-0.75,-0.73,-0.07
0.41000000000000003,-0.26,0.74
-0.76,-0.52,0.42
0.71,-0.08,-0.4
-0.79,-0.93,-0.13
0.13,-0.43,-0.03
-0.17,-0.26,-0.75
0.33,-0.06,-0.63
-0.65,-0.34,-0.18
0.18,-0.22,1.2
-0.75,-0.45,0.12
0.52,0.0,0.22
-0.09,-0.03,-0.58
0.59,-0.15,-0.38
-0.86,-0.65,0.28
0.48,0.13,0.29
0.09,0.08,-0.29
-0.62,-0.68,1.05
-0.84,-0.32,0.49
0.6900000000000001,-0.05,0.0
-0.13,-0.39,0.01
0.38,-0.04,-0.64
0.26,-0.25,0.53
-0.66,-0.27,0.86
-0.39,-0.23,0.2
0.97,0.5,-0.56
1.1500000000000001,0.28,-0.99
0.61,0.0,0.4
-0.59,-0.17,-0.22
0.97,-0.16,0.56
-0.99,-1.09,0.2
0.5,-0.92,0.61
0.34,-0.45,-0.5
0.02,-0.14,-0.72
-0.56,0.47000000000000003,-0.47000000000000003
-0.18,-0.12,0.2
0.24,-0.63,0.98
-0.4,-0.36,0.09
0.24,-0.3,0.04
-0.05,-0.16,-0.28
0.25,-0.39,-0.08
-0.06,-0.21,0.52
-0.65,-0.29,0.62
0.32,0.13,-0.03
0.29,-0.12,-0.6900000000000001
0.27,-0.09,-0.39
0.13,0.08,-0.29
0.02,-0.17,0.18
-0.17,-0.35000000000000003,0.71
-0.62,-0.05,-0.88
1.16,0.24,0.32
-0.73,-0.36,-1.23
0.59,0.11,1.6
-1.5,-0.41000000000000003,-0.44
1.33,-0.3,-0.1
-0.31,-0.32,-0.58
0.04,-0.18,0.29
-0.07,-0.22,-0.04
-0.11,-0.27,0.07
0.17,0.21,-0.24
-0.16,-0.54,-0.44
0.63,0.38,-0.24
-0.49,-0.05,-0.36
-0.08,-0.64,0.51
-0.04,-0.07,0.2
0.39,0.14,-0.09
0.07,0.0,-0.11
-0.45,-0.15,0.03
-0.09,-0.64,0.03
0.18,-0.11,0.24
-0.66,-0.29,-0.22
0.43,0.11,0.52
-0.25,-0.52,-0.39
0.5700000000000001,0.0,0.02
-0.49,-0.63,-0.46
0.16,0.01,0.99
-0.29,0.21,-0.34
1.53,-0.03,-0.15
-0.77,-0.43,-0.68
0.79,0.17,-0.28
-0.5700000000000001,-0.16,0.29
1.12,-0.24,0.0
0.32,-0.55,-0.34
0.2,-0.22,0.29
-0.21,-0.31,0.4
0.55,-0.24,-0.3
-0.18,-0.2,-0.26
0.35000000000000003,0.12,-0.25
0.05,-0.32,-0.09
0.37,-0.16,-0.36
0.34,0.1,0.3
-0.62,-0.98,-0.14
0.66,-0.68,0.34
-0.71,-0.42,0.19
-0.1,-0.03,0.52
0.05,-0.1,-0.5
0.12,0.14,0.33
0.47000000000000003,-0.21,-0.13
0.22,0.34,-0.26
-1.02,-0.09,0.09
0.11,-0.1,0.68
0.09,-0.07,-0.09
0.54,0.52,-0.53
0.11,-0.12,-0.76
-0.33,-0.48,0.3
0.31,0.14,-0.21
-0.31,0.16,0.14
0.31,-0.12,-0.36
-0.05,-0.2,0.7000000000000001
-0.78,-0.13,-0.52
1.23,0.04,0.42
-0.23,-0.14,-0.54
0.12,-0.11,2.05
-2.0300000000000002,-1.0,-0.63
2.06,0.59,0.29
-0.61,-0.1,-1.09
0.36,-0.53,0.97
0.08,-0.49,-0.68
1.11,0.11,-0.25
-0.25,-0.03,-1.04
-0.55,-0.46,0.4
-0.16,-0.32,0.37
0.12,0.15,0.27
0.12,-0.1,-0.36
-0.34,-0.54,0.0
0.55,0.39,0.14
-0.59,-0.12,-0.4
0.31,0.06,0.65
-0.43,0.25,0.6
0.76,0.22,0.5
-0.67,-0.33,-0.25
0.44,0.0,0.32
0.5700000000000001,0.19,-0.45
0.33,-0.04,-0.26
-0.21,-0.51,0.23
-0.38,-0.43,-0.35000000000000003
0.35000000000000003,-0.09,-0.12
-0.43,-0.22,0.8300000000000001
-0.26,-0.39,-0.75
1.0,0.3,0.1
0.02,0.66,-0.28
0.11,-0.15,0.43
0.16,-0.31,0.27
0.16,-0.47000000000000003,0.37
0.8200000000000001,-0.17,-0.4
-0.29,-0.28,0.33
0.17,0.01,-0.56
0.46,-0.13,0.07
-0.02,-0.33,-0.24
0.77,0.0,0.23
0.43,0.39,-0.56
1.31,0.04,-0.32
